port,game,round,depth,num_children,entropy_ratio,q_spread,concentration
5003,1,43,2,3,0.9989,0.0,0.3448
5003,1,43,3,3,0.9851,0.0001,0.375
5003,1,43,4,2,1.0,0.0001,0.5
5000,1,44,1,12,0.9823,0.0055,0.1429
5001,1,44,2,2,0.9999,0.0001,0.5054
5003,1,44,1,2,1.0,0.0,0.5
5003,1,44,2,4,0.9751,0.0,0.2857
5000,1,45,1,5,0.9976,0.0024,0.2143
5000,1,45,2,5,1.0,0.0009,0.2
5003,1,45,1,3,1.0,0.0,0.337
5003,1,45,2,3,0.9999,0.0,0.3383
5000,1,46,1,2,1.0,0.0008,0.5
5000,1,46,2,4,1.0,0.0019,0.25
5001,1,46,2,2,0.9997,0.0002,0.5095
5003,1,46,1,4,0.9926,0.0,0.2857
5003,1,46,2,3,1.0,0.0,0.3333
5000,1,47,1,2,0.9963,0.0032,0.5357
5000,1,47,2,10,0.975,0.0021,0.1538
5001,1,47,1,3,1.0,0.0003,0.337
5001,1,47,2,3,1.0,0.001,0.3353
5003,1,47,1,2,1.0,0.0001,0.5
5003,1,47,2,3,0.9996,0.0001,0.3478
5000,1,48,1,3,0.9952,0.0076,0.3571
5000,1,48,2,2,0.9183,0.0018,0.6667
5001,1,48,1,3,0.9998,0.0004,0.342
5001,1,48,2,2,0.9998,0.0005,0.5074
5003,1,48,1,4,0.9926,0.0012,0.2857
5003,1,48,2,3,1.0,0.0,0.3333
5000,1,49,1,3,1.0,0.0012,0.3333
5000,1,49,2,3,0.9602,0.0019,0.4
5003,1,49,1,5,0.969,0.0012,0.25
5000,1,50,1,3,0.9464,0.0027,0.5
5003,1,50,1,4,1.0,0.0018,0.2519
5000,1,51,1,24,0.9886,0.0058,0.0741
5001,1,51,1,3,1.0,0.0006,0.3367
5001,1,51,2,3,0.9996,0.0015,0.3435
5003,1,51,1,3,0.9992,0.0015,0.3529
5003,1,51,2,2,1.0,0.0,0.5
5003,1,51,3,4,1.0,0.0029,0.25
5000,1,52,1,20,0.9819,0.0085,0.08
5001,1,52,1,3,1.0,0.0007,0.3358
5001,1,52,2,4,1.0,0.0012,0.2528
5003,1,52,1,3,0.9999,0.0,0.3377
5000,1,53,1,3,1.0,0.0031,0.3333
5000,1,53,2,8,1.0,0.0019,0.125
5001,1,53,1,2,1.0,0.0004,0.5013
5003,1,53,1,3,0.9999,0.0002,0.3388
5003,1,53,2,2,0.9986,0.0017,0.5222
5000,1,54,1,3,0.9989,0.0032,0.3448
5000,1,54,2,2,1.0,0.0005,0.5
5000,1,54,3,3,1.0,0.0003,0.3333
5003,1,54,2,3,0.9951,0.0026,0.3799
5000,1,55,1,3,0.9995,0.0006,0.3415
5000,1,55,2,5,0.9873,0.0057,0.25
5000,1,55,3,2,1.0,0.0002,0.5
5000,1,56,1,2,0.9991,0.0023,0.5172
5000,1,56,2,3,0.9947,0.0043,0.3846
5000,1,56,3,4,1.0,0.0016,0.25
5000,1,57,1,3,0.9991,0.004,0.3548
5000,1,57,2,3,1.0,0.0017,0.3333
5000,1,57,3,2,1.0,0.0002,0.5
5003,1,57,1,4,0.9991,0.0016,0.2703
5000,1,58,1,3,0.9986,0.005,0.36
5000,1,58,2,8,1.0,0.0014,0.125
5003,1,58,1,3,1.0,0.0003,0.3333
5003,1,58,2,3,1.0,0.0002,0.3333
5000,1,59,1,3,1.0,0.0007,0.3333
5000,1,59,2,3,0.9464,0.0014,0.5
5003,1,59,1,4,0.9979,0.0002,0.2609
5003,1,59,2,3,0.9464,0.0009,0.5
5000,1,60,1,12,0.9918,0.0031,0.1034
5000,1,60,2,2,1.0,0.0009,0.5
5001,1,60,1,3,0.9998,0.0003,0.3419
5001,1,60,2,2,0.9999,0.0005,0.5069
5003,1,60,1,3,0.9975,0.0003,0.3684
5003,1,60,2,3,0.9602,0.0,0.4
5000,1,61,1,7,0.9977,0.0026,0.1481
5000,1,61,2,3,1.0,0.0012,0.3333
5001,1,61,1,2,0.9996,0.0001,0.5112
5003,1,61,1,3,1.0,0.0,0.3355
5000,1,62,1,8,1.0,0.003,0.125
5003,1,62,2,4,0.9998,0.0002,0.2575
5000,1,63,1,21,1.0,0.0021,0.0476
5001,1,63,1,3,0.9998,0.0017,0.34
5001,1,63,2,3,1.0,0.0003,0.3353
5000,1,64,1,3,0.9989,0.0006,0.3448
5000,1,64,2,9,1.0,0.0007,0.1111
5000,1,65,1,3,0.9994,0.0014,0.3421
5000,1,65,2,3,0.9922,0.0038,0.3636
5000,1,65,3,3,1.0,0.0007,0.3333
5001,1,65,1,4,0.9936,0.0056,0.2798
5003,1,65,1,2,1.0,0.0,0.5033
5000,1,66,1,2,1.0,0.0001,0.5
5000,1,66,2,3,0.9975,0.0003,0.3684
5000,1,66,3,3,0.9602,0.0049,0.4
5003,1,66,1,4,1.0,0.0,0.2522
5000,1,67,1,5,0.9995,0.0016,0.2097
5000,1,67,2,3,0.9922,0.0028,0.3636
5000,1,67,3,3,1.0,0.0066,0.3333
5003,1,67,1,4,0.9926,0.001,0.2857
5000,1,68,1,4,0.9997,0.0027,0.2623
5000,1,68,2,8,0.9834,0.0049,0.1429
5000,1,69,1,15,0.9865,0.0074,0.0769
5003,1,69,2,4,0.9992,0.0015,0.2681
5000,1,70,1,2,0.999,0.0004,0.5185
5000,1,70,2,13,1.0,0.0095,0.0769
5003,1,70,2,4,0.9998,0.0009,0.2596
5000,1,71,1,15,0.9798,0.016,0.087
5003,1,71,2,4,0.9986,0.0013,0.2778
5000,1,72,1,17,0.984,0.0205,0.1
5003,1,72,1,3,1.0,0.0002,0.3333
5003,1,72,2,3,1.0,0.0004,0.3333
5000,1,73,1,3,0.9975,0.0003,0.3684
5000,1,73,2,5,1.0,0.0003,0.2
5003,1,73,2,3,0.9975,0.0,0.3684
5003,1,73,4,3,1.0,0.0004,0.3333
5000,1,74,1,5,0.9977,0.0016,0.2083
5000,1,74,2,4,1.0,0.0019,0.25
5001,1,74,2,5,0.9999,0.0016,0.2038
5003,1,74,1,2,0.9911,0.0,0.5556
5003,1,74,2,4,1.0,0.0,0.25
5000,1,75,1,3,0.9981,0.0021,0.3636
5000,1,75,2,5,0.9697,0.005,0.3333
5001,1,75,2,3,0.9999,0.0008,0.3372
5003,1,75,1,3,0.9998,0.0004,0.3433
5003,1,75,2,3,1.0,0.0001,0.3333
5003,1,75,3,5,1.0,0.0,0.2
5000,1,76,1,13,0.9788,0.0088,0.1
5003,1,76,1,4,1.0,0.0,0.25
5000,1,77,1,4,1.0,0.0003,0.25
5001,1,77,2,3,0.9993,0.0012,0.3497
5000,1,78,1,8,1.0,0.0019,0.125
5003,1,78,2,4,0.9889,0.0057,0.3216
5000,1,79,1,9,0.9978,0.0014,0.1429
5000,1,79,2,3,1.0,0.0005,0.3333
5000,1,80,1,3,1.0,0.0024,0.3333
5000,1,80,2,3,0.9851,0.002,0.375
5000,1,80,3,2,1.0,0.0,0.5
5000,1,81,1,3,0.9986,0.0035,0.3462
5000,1,81,2,3,0.9821,0.0052,0.4286
5000,1,81,3,2,1.0,0.0002,0.5
5000,1,82,1,3,0.9983,0.0041,0.3478
5000,1,82,2,3,1.0,0.0014,0.3333
5000,1,83,1,3,0.9989,0.0015,0.355
5000,1,84,1,9,0.9978,0.0011,0.1429
5000,1,84,2,3,1.0,0.0018,0.3333
5000,2,1,1,3,0.9995,0.0011,0.3479
5000,2,1,2,2,0.9987,0.0004,0.5212
5001,2,1,1,2,1.0,0.0005,0.5021
5001,2,1,2,2,0.9999,0.0002,0.5064
5002,2,1,1,3,0.9998,0.0001,0.3414
5003,2,1,1,2,0.9988,0.0003,0.5202
5000,2,2,1,3,0.9991,0.0002,0.3538
5001,2,2,1,3,0.9998,0.0004,0.3422
5001,2,2,2,2,0.9999,0.0014,0.5066
5002,2,2,1,3,0.9998,0.0004,0.3429
5002,2,2,2,3,0.9995,0.0002,0.3483
5003,2,2,2,2,0.9999,0.001,0.5054
5000,2,3,1,3,0.9993,0.0003,0.3521
5000,2,3,2,2,0.9999,0.0002,0.5043
5001,2,3,1,2,0.9999,0.0006,0.5062
5001,2,3,2,3,1.0,0.0015,0.335
5002,2,3,1,3,0.9997,0.0,0.3456
5002,2,3,2,3,0.9999,0.0,0.339
5003,2,3,1,5,0.9977,0.0018,0.2271
5003,2,3,2,2,0.9969,0.0021,0.5328
5000,2,4,1,4,0.9983,0.001,0.2714
5001,2,4,1,2,1.0,0.0,0.5009
5002,2,4,1,3,1.0,0.0001,0.3377
5003,2,4,1,3,0.9998,0.0009,0.3441
5003,2,4,2,2,1.0,0.0003,0.5
5001,2,5,1,2,1.0,0.0001,0.5023
5001,2,5,2,3,1.0,0.0,0.3349
5002,2,5,1,4,1.0,0.0002,0.2537
5002,2,5,2,3,1.0,0.0,0.3333
5003,2,5,1,3,0.9997,0.0013,0.3415
5003,2,5,2,2,1.0,0.0002,0.5
5001,2,6,1,2,1.0,0.0001,0.5009
5001,2,6,2,4,0.9999,0.002,0.2552
5002,2,6,1,3,0.9997,0.0,0.3458
5002,2,6,2,3,0.9999,0.0,0.339
5003,2,6,1,2,1.0,0.0002,0.5
5001,2,7,1,2,0.9999,0.0006,0.5067
5001,2,7,2,4,0.9998,0.0023,0.2581
5002,2,7,2,3,0.9999,0.0001,0.3389
5003,2,7,1,2,1.0,0.0003,0.5015
5000,2,8,2,4,1.0,0.0011,0.2537
5001,2,8,1,2,0.9999,0.0003,0.5043
5001,2,8,2,7,1.0,0.0022,0.1459
5002,2,8,2,3,1.0,0.0,0.3383
5001,2,9,1,5,0.9991,0.0016,0.2179
5002,2,9,1,4,1.0,0.0001,0.251
5002,2,9,2,3,0.9999,0.0,0.3388
5003,2,9,1,4,0.9999,0.0008,0.2528
5001,2,10,1,2,0.9989,0.0006,0.5196
5001,2,10,2,4,0.9998,0.0011,0.2597
5002,2,10,1,4,0.9999,0.0,0.2568
5000,2,11,1,5,0.9987,0.0005,0.2186
5001,2,11,1,4,0.9998,0.0011,0.2558
5002,2,11,1,3,0.9999,0.0,0.3388
5002,2,12,1,2,0.9999,0.0002,0.5066
5002,2,12,2,3,0.9999,0.0,0.3399
5003,2,12,1,4,1.0,0.0006,0.2516
5001,2,13,2,2,0.9999,0.0015,0.5045
5002,2,13,1,5,1.0,0.0001,0.2
5002,2,13,2,3,1.0,0.0001,0.3333
5000,2,14,1,4,1.0,0.0006,0.2504
5001,2,14,2,5,0.9998,0.0015,0.2071
5002,2,14,1,3,1.0,0.0,0.3375
5001,2,15,1,6,1.0,0.001,0.1695
5002,2,15,1,2,0.9991,0.0002,0.5172
5002,2,15,2,3,0.9947,0.0001,0.3846
5002,2,15,3,4,1.0,0.0001,0.25
5001,2,16,1,5,0.9997,0.0016,0.2106
5001,2,16,2,4,1.0,0.0008,0.25
5002,2,16,1,3,1.0,0.0,0.3333
5002,2,16,2,3,1.0,0.0,0.3333
5003,2,16,1,4,0.9998,0.0021,0.2594
5000,2,17,1,5,0.9991,0.0005,0.2148
5002,2,17,1,4,0.9979,0.0005,0.2692
5002,2,17,2,5,1.0,0.0003,0.2
5000,2,18,1,2,0.9993,0.0008,0.5159
5002,2,18,1,3,0.9989,0.0001,0.3448
5002,2,18,3,2,1.0,0.0001,0.5
5002,2,18,4,2,1.0,0.0,0.5
5003,2,18,1,3,0.9978,0.002,0.3633
5000,2,19,1,3,0.9991,0.0007,0.3469
5001,2,19,1,2,0.9997,0.0013,0.5105
5002,2,19,2,2,1.0,0.0,0.5
5003,2,19,1,2,0.9995,0.0014,0.5129
5003,2,19,2,3,0.9972,0.0032,0.3629
5000,2,20,1,2,0.998,0.0002,0.5264
5000,2,20,2,4,0.9988,0.0009,0.2687
5002,2,20,1,5,0.9997,0.0001,0.2131
5002,2,20,2,9,0.9766,0.0002,0.1818
5003,2,20,1,3,0.9914,0.0056,0.3829
5000,2,21,1,3,0.9998,0.0002,0.3424
