game,round,num_iterations,max_depth,avg_depth,time_taken,num_children,value
307,24,276,2,2.0,1.0,1,0.40733080857761156
307,25,311,2,2.0,1.0,1,0.45725492934239537
307,26,250,2,2.0,1.0,4,0.46231117483587386
307,27,719,2,0.26425591098748263,1.0,3,0.9327131467130562
308,1,356,2,2.0,1.0,3,-0.1615379213483145
308,2,332,2,2.0,1.0,2,-0.15741860352420334
308,3,321,2,2.0,1.0,1,-0.13571462873900514
308,4,296,2,2.0,1.0,1,-0.1498013245033104
308,5,276,2,2.0,1.0,3,0.1389186176142699
308,6,268,2,2.0,1.0,2,0.22814753430670787
308,7,245,2,2.0,1.0,2,0.24055656561065467
308,8,225,2,2.0,1.0,3,0.26658070756322333
308,9,257,2,2.0,1.0,3,0.2324047186932835
308,10,238,2,2.0,1.0,3,-0.20228018137561962
308,11,249,2,2.0,1.0,4,-0.214942527056383
308,12,238,2,2.0,1.0,5,0.2112804510469374
308,13,203,2,2.0,1.0,3,0.24264600047175144
308,14,236,2,2.0,1.0,3,0.2862825447766782
308,15,244,2,2.0,1.0,6,0.2796167081208642
308,16,245,2,2.0,1.0,1,0.2572150429385871
308,17,266,2,2.0,1.0,5,-0.2043715371338526
308,18,220,2,2.0,1.0,3,0.15996574314533674
308,19,256,2,2.0,1.0,2,0.26116178061517914
308,20,235,2,2.0,1.0,8,0.30736721619152935
308,21,286,2,2.0,1.0,5,0.40805985481425244
308,22,302,2,2.0,1.0,1,0.38154231110348014
308,23,292,2,2.0,1.0,6,-0.05638473071203832
308,24,276,2,2.0,1.0,6,0.17490820867609086
308,25,265,2,2.0,1.0,4,0.4004357645818032
308,26,246,2,2.0,1.0,3,0.4574337835832612
308,27,296,2,2.0,1.0,4,0.5
308,28,312,2,2.0,1.0,3,0.5
308,29,370,2,2.0,1.0,12,0.5
308,30,332,2,2.0,1.0,2,0.46271358843366955
308,31,290,2,2.0,1.0,3,0.4915422941640053
308,32,374,2,2.0,1.0,3,0.5
308,33,803,2,0.37733499377334995,1.0,3,0.9034869240348692
309,1,353,2,2.0,1.0,3,-0.1625625457554831
309,2,325,2,2.0,1.0,1,-0.15714385614385595
309,3,302,2,2.0,1.0,1,-0.13286336880180935
309,4,287,2,2.0,1.0,1,-0.1426302729528529
309,5,270,2,2.0,1.0,1,-0.1341560794044663
309,6,257,2,2.0,1.0,2,0.15750377594735585
309,7,260,2,2.0,1.0,2,0.2277881619937685
309,8,246,2,2.0,1.0,3,0.2388678312458791
309,9,237,2,2.0,1.0,1,0.2829027081143528
309,10,234,2,2.0,1.0,1,0.28300486889207294
309,11,246,2,2.0,1.0,3,0.25647312090821156
309,12,255,2,2.0,1.0,6,-0.18325708085309694
309,13,219,2,2.0,1.0,7,0.14881303042273583
309,14,204,2,2.0,1.0,1,0.25900316237522264
309,15,192,2,2.0,1.0,1,0.30075613836280707
309,16,208,2,2.0,1.0,1,0.41016102053030384
309,17,196,2,2.0,1.0,2,0.3999855636820801
309,18,233,2,2.0,1.0,3,0.3838719267551879
309,19,222,2,2.0,1.0,1,-0.05721938422829212
309,20,332,2,1.2048192771084338,1.0,5,-0.053373887903402736
309,21,217,2,2.0,1.0,1,0.33453409731672445
309,22,251,2,2.0,1.0,4,0.423483494115947
309,23,222,2,2.0,1.0,8,0.42807696589229577
309,24,207,2,2.0,1.0,3,0.4365124913037681
309,25,234,2,2.0,1.0,3,0.43683419738305956
309,26,236,2,1.7923728813559323,1.0,12,0.4372020858238818
309,27,218,2,1.7844036697247707,1.0,2,0.48365627686999946
309,28,212,2,2.0,1.0,3,0.5
309,29,294,2,1.9149659863945578,1.0,2,0.5
309,30,892,2,0.17376681614349776,1.0,3,0.9562780269058296
310,1,356,2,2.0,1.0,3,-0.16139424318739523
310,2,318,2,2.0,1.0,2,-0.15758466376390998
310,3,303,2,2.0,1.0,2,-0.14115325620135577
310,4,294,2,2.0,1.0,2,-0.14887788778877836
310,5,282,2,2.0,1.0,4,0.20202367621180498
310,6,229,2,2.0,1.0,3,0.22968207593540554
310,7,209,2,2.0,1.0,5,0.24926425171938857
310,8,263,2,2.0,1.0,2,0.2521463486672601
310,9,258,2,2.0,1.0,5,0.24248258827286398
310,10,259,2,2.0,1.0,5,0.12995326343593802
310,11,220,2,2.0,1.0,4,0.24357207362174207
310,12,252,2,2.0,1.0,1,0.2602278533161406
310,13,229,2,2.0,1.0,5,0.24901295086824604
310,14,219,2,2.0,1.0,4,0.3504986997355176
310,15,216,2,2.0,1.0,3,0.38254351458143293
310,16,238,2,2.0,1.0,3,0.39352060437632475
310,17,271,2,2.0,1.0,3,0.4133552844154628
310,18,237,2,2.0,1.0,4,0.4391080066041697
310,19,242,2,2.0,1.0,8,0.47944227381624527
310,20,444,2,0.8355855855855856,1.0,2,0.7849319138217165
311,1,351,2,2.0,1.0,3,-0.1622352392179979
311,2,328,2,2.0,1.0,3,-0.15712922895357923
311,3,305,2,2.0,1.0,2,-0.1332071660787162
311,4,284,2,2.0,1.0,4,-0.14267742331871933
311,5,270,2,2.0,1.0,3,-0.13424614795674242
311,6,270,2,2.0,1.0,3,0.12193037974683578
311,7,269,2,2.0,1.0,1,0.1864621213515402
311,8,230,2,2.0,1.0,3,0.2321730064754862
311,9,210,2,2.0,1.0,3,0.28261339092872567
311,10,239,2,2.0,1.0,1,0.27919119608915105
311,11,277,2,2.0,1.0,3,0.2600988298174534
311,12,288,2,2.0,1.0,1,-0.19908402683071458
311,13,243,2,2.0,1.0,1,0.167342488429445
311,14,254,2,2.0,1.0,4,0.2579427019719991
311,15,242,2,2.0,1.0,3,0.27507460626943636
311,16,247,2,2.0,1.0,3,0.3441738615400898
311,17,225,2,2.0,1.0,4,-0.06855176921772804
311,18,218,2,2.0,1.0,5,-0.08477973056744692
311,19,229,2,2.0,1.0,2,0.23499790234146192
311,20,203,2,2.0,1.0,3,0.3671176804137859
311,21,206,2,2.0,1.0,4,0.38179099383324067
311,22,248,2,2.0,1.0,1,0.4075732712740335
311,23,211,2,2.0,1.0,2,0.45516084224309755
311,24,212,2,2.0,1.0,2,0.4610429553367388
311,25,283,2,1.9929328621908127,1.0,2,0.5
311,26,323,2,2.0,1.0,3,0.5
311,27,303,2,1.9471947194719472,1.0,2,0.5099009900990099
311,28,324,2,1.9444444444444444,1.0,4,0.5046296296296297
311,29,623,2,0.6324237560192616,1.0,4,0.8362760834670947
311,30,311,2,1.9356913183279743,1.0,4,0.5
311,31,970,2,0.07525773195876288,1.0,3,0.9809278350515463
312,1,351,2,2.0,1.0,3,-0.16251936681712004
312,2,318,2,2.0,1.0,2,-0.15970730527334387
312,3,304,2,2.0,1.0,1,-0.1409313803487555
312,4,293,2,2.0,1.0,1,-0.1327057811955539
312,5,274,2,2.0,1.0,3,0.13412956204379506
312,6,279,2,2.0,1.0,1,0.1776913593516791
312,7,203,2,2.0,1.0,3,0.24928704230760246
312,8,217,2,2.0,1.0,2,0.2761633996318745
312,9,257,2,2.0,1.0,3,0.2773110080382635
312,10,282,2,2.0,1.0,5,0.24143984739833715
312,11,221,2,2.0,1.0,1,-0.19416666666666718
312,12,211,2,2.0,1.0,2,-0.1877984334887254
312,13,267,2,2.0,1.0,2,0.23367547333637598
312,14,219,2,2.0,1.0,6,0.37740627444017927
312,15,236,2,2.0,1.0,5,0.394870533594047
312,16,251,2,2.0,1.0,3,0.4197039957116371
312,17,310,2,2.0,1.0,3,0.4215407456471175
312,18,330,2,2.0,1.0,1,0.4428842505598745
312,19,371,2,2.0,1.0,2,0.4744911854235791
312,20,379,2,2.0,1.0,8,0.49267077942073245
312,21,411,2,2.0,1.0,3,0.5
312,22,1034,2,0.0735009671179884,1.0,6,0.9816247582205029
313,1,363,2,2.0,1.0,3,-0.16441164895710444
313,2,340,2,2.0,1.0,2,-0.161309010865492
313,3,314,2,2.0,1.0,2,-0.14106666672228338
313,4,300,2,2.0,1.0,2,-0.14927631578947345
313,5,278,2,2.0,1.0,4,0.20523294331567649
313,6,227,2,2.0,1.0,3,0.235331474692709
313,7,200,2,2.0,1.0,3,0.26051275288606723
313,8,262,2,2.0,1.0,2,0.2713320264641015
313,9,267,2,2.0,1.0,3,0.25302268039053255
313,10,274,2,2.0,1.0,2,-0.19552444596498414
313,11,249,2,2.0,1.0,5,0.14377459122353806
313,12,209,2,2.0,1.0,3,0.31707735315447727
313,13,236,2,2.0,1.0,3,0.28508173418621235
313,14,258,2,2.0,1.0,5,0.2583283497724169
313,15,228,2,2.0,1.0,7,-0.08096984231670416
313,16,230,2,2.0,1.0,5,-0.06943224948058956
313,17,209,2,2.0,1.0,3,0.3152818828552483
313,18,210,2,2.0,1.0,3,0.39716052448538247
313,19,276,2,2.0,1.0,3,0.41462321586268486
313,20,323,2,2.0,1.0,2,0.41790810135432943
313,21,315,2,2.0,1.0,7,0.4620072083942248
313,22,295,2,2.0,1.0,18,0.44151876532668555
313,23,298,2,2.0,1.0,17,0.4944178904876297
313,24,285,2,2.0,1.0,2,0.47346563301436606
313,25,290,2,2.0,1.0,4,0.5
313,26,419,2,2.0,1.0,3,0.5
313,27,1133,2,0.09532215357458076,1.0,3,0.9761694616063548
314,1,354,2,2.0,1.0,3,-0.162264513929476
314,2,314,2,2.0,1.0,2,-0.15768781642985558
314,3,305,2,2.0,1.0,1,-0.14144370542318674
314,4,288,2,2.0,1.0,1,-0.13962193823216107
314,5,266,2,2.0,1.0,4,0.18622709411720204
314,6,242,2,2.0,1.0,2,0.237020202020203
314,7,205,2,2.0,1.0,3,0.26251844623470083
314,8,251,2,2.0,1.0,3,0.2772184083973896
314,9,269,2,2.0,1.0,2,0.3236092021009973
314,10,277,2,2.0,1.0,1,-0.19899735186648548
314,11,260,2,2.0,1.0,3,0.1941093315286866
314,12,225,2,2.0,1.0,3,0.2627826805180467
314,13,218,2,2.0,1.0,5,0.2794235145313065
314,14,196,2,2.0,1.0,3,0.28267092289303436
314,15,229,2,2.0,1.0,5,0.26423640372003493
314,16,229,2,2.0,1.0,5,-0.17116849072904625
314,17,209,2,2.0,1.0,3,0.2890285106284298
314,18,211,2,2.0,1.0,2,0.38052577432734236
314,19,208,2,2.0,1.0,6,0.3822835022853528
314,20,193,2,2.0,1.0,3,0.4015070027817632
314,21,231,2,2.0,1.0,6,0.40492557953349617
314,22,241,2,2.0,1.0,19,0.07245728439181842
314,23,225,2,2.0,1.0,2,0.37698559822768274
314,24,306,2,2.0,1.0,3,0.45264681808880725
314,25,279,2,2.0,1.0,4,0.5
314,26,227,2,2.0,1.0,3,0.5
314,27,293,2,1.795221843003413,1.0,3,0.5511945392491467
314,28,939,2,0.0777422790202343,1.0,4,0.9802981895633652
315,1,354,2,2.0,1.0,3,-0.16505649717514168
315,2,332,2,2.0,1.0,3,-0.16549882893202697
315,3,306,2,2.0,1.0,1,-0.1411757088319448
315,4,280,2,2.0,1.0,1,-0.14934426229508144
315,5,272,2,2.0,1.0,4,0.2012978436324025
315,6,211,2,2.0,1.0,3,0.23535210506441412
315,7,199,2,2.0,1.0,3,0.2570680105451852
315,8,252,2,2.0,1.0,1,0.27006407322654435
315,9,258,2,2.0,1.0,4,0.2550405217504742
315,10,261,2,2.0,1.0,4,-0.20662901735046116
315,11,219,2,2.0,1.0,5,-0.20585711698306572
315,12,246,2,2.0,1.0,1,0.16046949628984877
315,13,198,2,2.0,1.0,3,0.24873284630279097
315,14,207,2,2.0,1.0,3,0.27428411284553844
315,15,238,2,2.0,1.0,4,0.26649731620595996
315,16,194,2,2.0,1.0,3,0.30787780863398245
315,17,225,2,2.0,1.0,3,-0.0864394301666703
315,18,200,2,2.0,1.0,1,-0.045543421628488456
315,19,217,2,2.0,1.0,3,0.11905829254371901
315,20,255,2,2.0,1.0,8,0.48799834995726654
315,21,267,2,2.0,1.0,1,0.5
315,22,389,2,2.0,1.0,2,0.5
315,23,328,2,2.0,1.0,3,0.5
315,24,386,2,2.0,1.0,1,0.5
315,25,914,2,0.10940919037199125,1.0,3,0.9726477024070022
316,1,345,2,2.0,1.0,3,-0.16137806096951543
316,2,326,2,2.0,1.0,2,-0.15700465134929234
316,3,305,2,2.0,1.0,2,-0.14075118870200853
316,4,300,2,2.0,1.0,3,-0.14259210526315763
316,5,278,2,2.0,1.0,3,0.1325462897357833
316,6,266,2,2.0,1.0,3,0.17806821873561263
316,7,227,2,2.0,1.0,3,0.2518632729645953
