game,round,num_iterations,value
21,19,23,-0.46057897795099223
21,20,19,-0.5
21,21,17,-0.4950617797901752
21,22,19,-0.49713442617173886
21,23,21,-0.4327496391692992
21,24,17,-0.5
21,25,16,-0.42146690695800215
21,26,15,-0.5
21,27,11,-0.4958715543532979
21,28,8,-0.5375
21,29,7,-0.7257142857142856
21,30,9,-0.731111111111111
21,31,11,-0.7818181818181817
21,32,28,-0.9200000000000005
21,33,5362,-1.0
22,1,75,-0.48930534886684557
22,2,63,-0.4926085687612916
22,3,59,-0.46051369494936556
22,4,56,-0.45492762897341343
22,5,48,-0.407373355147478
22,6,44,-0.36785892232960377
22,7,43,-0.3745530451372037
22,8,37,-0.3060224441498717
22,9,37,-0.36479212651506127
22,10,42,-0.3981419745479156
22,11,38,-0.3658329767696816
22,12,28,-0.39207926499096385
22,13,38,-0.38427395547554893
22,14,39,-0.3719171678988292
22,15,39,-0.2702117516284676
22,16,30,-0.38393647945806547
22,17,38,-0.28698811128412016
22,18,28,0.10896205139154612
22,19,24,0.006626384464187442
22,20,21,-0.016002344840416176
22,21,20,0.35714738707679244
22,22,12,0.44553076402974984
22,23,6,0.45339320511734305
22,24,15,0.49374534761636196
22,25,9,0.5644444444444443
22,26,13,0.6738461538461537
22,27,12,0.7199999999999999
22,28,19,0.8063157894736841
22,29,101,0.9651485148514856
23,1,83,-0.4918870883605022
23,2,55,-0.49386561381912075
23,3,55,-0.4826338377171786
23,4,56,-0.44745174800562554
23,5,54,-0.4608018715544028
23,6,53,-0.4669000773179857
23,7,42,-0.402152617559813
23,8,36,-0.40450883871580146
23,9,29,-0.43878341910899665
23,10,46,-0.28104476776025894
23,11,29,-0.19842892823028813
23,12,21,-0.3861833865949456
23,13,28,-0.20162453500529195
23,14,26,-0.12568171502485714
23,15,28,-0.3335775007102844
23,16,27,0.0363693791280342
23,17,23,0.279737441671011
23,18,20,0.39062851183532576
23,19,13,0.4568075657322937
23,20,11,0.4948479641963301
23,21,10,0.4833805596387738
23,22,11,0.4115903391453306
23,23,15,0.4527375236472304
23,24,11,0.5272727272727272
23,25,10,0.5
23,26,8,0.5924999999999999
23,27,8,0.6374999999999998
23,28,11,0.7145454545454544
23,29,196,0.9853061224489796
24,1,68,-0.4901402005252761
24,2,54,-0.4793707334115461
24,3,54,-0.48790490682208454
24,4,49,-0.4534242227947339
24,5,61,-0.47636790384064454
24,6,63,-0.45289008429085437
24,7,63,-0.4961343272518719
24,8,25,-0.472014071592055
24,9,32,-0.49365920158101007
24,10,33,-0.4880902644581356
24,11,39,-0.43586453116711976
24,12,46,-0.4236407798994433
24,13,44,-0.4616317859636032
24,14,22,-0.4815416419322812
24,15,30,-0.49810637284907844
24,16,25,-0.49874557805525
24,17,20,-0.5
24,18,18,-0.1928639729640617
24,19,16,-0.44734313523955627
24,20,19,-0.09528172121876094
24,21,23,-0.4061318131468041
24,22,24,-0.46690071249867016
24,23,21,-0.49552434940606804
24,24,22,-0.4504681124763062
24,25,24,-0.4514801685789172
24,26,23,-0.4988823912651004
24,27,21,-0.5
24,28,19,-0.5
24,29,18,-0.5
24,30,12,-0.5083333333333333
24,31,14,-0.5
24,32,16,-0.5
24,33,14,-0.5
24,34,12,-0.5
24,35,10,-0.5
24,36,10,-0.5
24,37,14,-0.5
25,1,76,-0.49205184574671396
25,2,56,-0.49415658375077903
25,3,55,-0.4804327401326925
25,4,56,-0.4472594925049395
25,5,47,-0.4042130415212432
25,6,43,-0.36718764293276324
25,7,40,-0.38321871758882503
25,8,38,-0.3975311643346559
25,9,40,-0.2768276583366326
25,10,33,-0.3275143167970762
25,11,27,-0.40169122761631165
25,12,36,-0.35876569564654953
25,13,20,0.2309172804359329
25,14,21,0.09647080504974481
25,15,23,0.1429354080337784
25,16,20,0.2824709964683753
25,17,18,0.07062993956384632
25,18,18,0.2277979743074615
25,19,16,0.11430708124075507
25,20,10,0.4835935960591133
25,21,10,0.4634882352873637
25,22,7,0.5142857142857143
25,23,8,0.5125
25,24,7,0.6057142857142858
25,25,8,0.6574999999999999
