game,round,num_iterations,max_depth,time_taken,num_children,value
8,37,1000,2,2.95,3,-0.11497219729423523
8,38,1000,3,3.49,5,-0.11497254221141338
8,39,1000,2,3.19,3,-0.11497327402979135
8,40,1000,3,5.16,3,-0.11497230207175016
8,41,1000,3,4.23,3,-0.11497351664304734
8,42,1000,1,2.78,8,-0.11497297040373088
8,43,1000,4,8.95,5,-0.11497266414016485
8,44,1000,1,2.63,4,-0.11497189661860466
8,45,1000,1,2.59,3,-0.11497079931199551
8,46,1000,2,2.6,2,-0.11496976248174906
9,1,1000,3,3.7,3,-0.05658255897089839
9,2,1000,3,3.32,3,-0.05658168482780457
9,3,1000,3,3.98,3,-0.0565805999673903
9,4,1000,3,3.16,3,-0.05657875839620829
9,5,1000,3,3.9,3,-0.056577976167202
9,6,1000,3,4.1,3,-0.05657631416618824
9,7,1000,2,3.14,3,-0.05657513004168868
9,8,1000,2,2.87,2,-0.0565740108601749
9,9,1000,3,6.05,4,-0.05657329865545034
9,10,849,4,10.0,4,-0.05657214073308506
9,11,1000,4,9.74,4,-0.056572129994630814
9,12,1000,3,4.83,3,-0.05657223296910524
9,13,1000,3,4.47,3,-0.05657284392416477
9,14,1000,4,5.51,3,-0.056572610706090924
9,15,1000,4,4.5,3,-0.05657198403030634
9,16,1000,5,5.11,2,-0.05657103214040399
9,17,1000,5,4.4,2,-0.056573396418243646
9,18,1000,2,3.05,3,-0.05657227925956249
9,19,287,3,10.01,13,-0.056572501966243006
9,20,1000,3,6.01,2,-0.05657236249744892
9,21,236,3,10.03,17,-0.056574804518940085
9,22,1000,3,4.42,3,-0.05657812885567546
9,23,1000,3,4.76,3,-0.056577029906213286
9,24,1000,2,3.31,3,-0.056577287286520006
9,25,1000,3,6.65,2,-0.056576155714690685
9,26,348,4,10.0,11,-0.056575587886417734
9,27,245,5,10.02,3,-0.05657385685005967
9,28,240,4,10.0,2,-0.05657547746474544
9,29,1000,3,5.81,5,-0.056576867699623105
9,30,1000,5,8.04,3,-0.05657631716504693
9,31,1000,3,2.92,2,-0.0565768375955522
9,32,1000,3,6.6,6,-0.05657717342674732
9,33,1000,2,2.97,3,-0.05657654929161072
9,34,1000,3,3.07,2,-0.056577122304588556
9,35,1000,1,2.52,2,-0.05657856910675764
10,1,1000,3,3.75,3,-0.040562328293919564
10,2,1000,3,3.85,3,-0.040562393579632046
10,3,1000,4,4.09,3,-0.04056348469853401
10,4,1000,4,4.11,3,-0.040564800783991814
10,5,1000,3,4.6,3,-0.040565576624125244
10,6,1000,4,4.14,3,-0.040566589552909135
10,7,1000,4,5.74,3,-0.040566311459988354
10,8,1000,3,4.07,3,-0.04056651262566447
10,9,1000,3,4.07,3,-0.04056706468388438
10,10,1000,2,3.14,3,-0.0405673143491149
10,11,1000,2,3.29,3,-0.0405672024153173
10,12,1000,2,3.62,3,-0.04056740138679743
10,13,425,6,10.03,3,-0.04056896215852569
10,14,1000,3,3.3,3,-0.04056836777180433
10,15,1000,4,4.36,2,-0.04056844727694988
10,16,1000,1,2.62,5,-0.0405687116459012
10,17,1000,3,4.75,2,-0.040569765839725734
10,18,1000,3,6.57,4,-0.04056951442360878
10,19,1000,5,4.74,3,-0.040570317458361385
10,20,278,6,10.04,3,-0.040570039342311646
10,21,290,5,10.02,3,-0.04057067472102313
10,22,1000,4,5.86,4,-0.0405716039352119
10,23,1000,3,3.08,2,-0.040571869798004624
10,24,1000,2,4.24,13,-0.040572018824517726
10,25,651,6,10.0,1,-0.040571756157365996
10,26,245,5,10.02,3,-0.040571684876875
10,27,1000,4,6.14,2,-0.040571390479803085
10,28,437,6,10.04,1,-0.04057161902126513
10,29,249,5,10.02,4,-0.04057184808764113
10,30,290,4,10.05,9,-0.04057217215926483
10,31,1000,3,6.9,5,-0.04057284405082464
10,32,712,3,10.0,9,-0.04057279510130541
10,33,1000,4,4.96,3,-0.040572344571352004
10,34,1000,5,6.48,3,-0.04057232591509819
11,1,1000,3,3.74,3,-0.08999784914404153
11,2,1000,3,3.53,2,-0.08999536678195
11,3,1000,3,3.61,3,-0.08999384152889252
11,4,1000,4,3.42,3,-0.08999323674291372
11,5,1000,3,2.82,1,-0.08999291275441647
