game,port,player
274,5003,Chinese
274,5000,Russians
275,5001,Italians
275,5002,Germans
275,5003,Chinese
275,5000,Russians
276,5003,Chinese
276,5000,Russians
276,5001,Italians
276,5002,Germans
277,5003,Chinese
277,5001,Italians
277,5000,Russians
277,5002,Germans
278,5002,Germans
278,5000,Russians
278,5003,Chinese
278,5001,Italians
279,5003,Chinese
279,5001,Italians
279,5002,Germans
279,5000,Russians
280,5000,Russians
280,5002,Germans
280,5001,Italians
280,5003,Chinese
281,5000,Russians
281,5003,Chinese
281,5002,Germans
281,5001,Italians
282,5002,Germans
282,5001,Italians
282,5000,Russians
282,5003,Chinese
283,5000,Russians
283,5001,Italians
283,5003,Chinese
283,5002,Germans
284,5003,Chinese
284,5002,Germans
284,5000,Russians
284,5001,Italians
285,5002,Germans
285,5003,Chinese
285,5001,Italians
285,5000,Russians
286,5003,Chinese
286,5000,Russians
286,5001,Italians
286,5002,Germans
287,5002,Germans
287,5000,Russians
287,5003,Chinese
287,5001,Italians
288,5000,Russians
288,5002,Germans
288,5001,Italians
288,5003,Chinese
289,5001,Italians
289,5003,Chinese
289,5002,Germans
289,5000,Russians
290,5001,Italians
290,5000,Russians
290,5003,Chinese
290,5002,Germans
291,5000,Russians
291,5001,Italians
291,5003,Chinese
291,5002,Germans
292,5003,Chinese
292,5000,Russians
292,5001,Italians
292,5002,Germans
293,5001,Italians
293,5003,Chinese
293,5000,Russians
293,5002,Germans
294,5000,Russians
294,5003,Chinese
294,5001,Italians
294,5002,Germans
295,5000,Russians
295,5001,Italians
295,5003,Chinese
295,5002,Germans
296,5003,Chinese
296,5001,Italians
296,5000,Russians
296,5002,Germans
297,5003,Chinese
297,5001,Italians
297,5000,Russians
297,5002,Germans
298,5000,Russians
298,5002,Germans
298,5001,Italians
298,5003,Chinese
299,5000,Russians
299,5002,Germans
299,5001,Italians
299,5003,Chinese
300,5003,Chinese
300,5000,Russians
300,5001,Italians
300,5002,Germans
301,5001,Italians
301,5002,Germans
301,5000,Russians
301,5003,Chinese
302,5001,Italians
302,5000,Russians
302,5003,Chinese
302,5002,Germans
303,5000,Russians
303,5002,Germans
303,5001,Italians
303,5003,Chinese
304,5002,Germans
304,5001,Italians
304,5003,Chinese
304,5000,Russians
305,5002,Germans
305,5001,Italians
305,5003,Chinese
305,5000,Russians
306,5002,Germans
306,5003,Chinese
306,5001,Italians
306,5000,Russians
307,5001,Italians
307,5000,Russians
307,5002,Germans
307,5003,Chinese
308,5002,Germans
308,5000,Russians
308,5003,Chinese
308,5001,Italians
309,5002,Germans
309,5001,Italians
309,5000,Russians
309,5003,Chinese
310,5002,Germans
310,5000,Russians
