game,port,player
428,5003,Chinese
428,5002,Germans
429,5000,Russians
429,5002,Germans
429,5001,Italians
429,5003,Chinese
430,5001,Italians
430,5000,Russians
430,5002,Germans
430,5003,Chinese
431,5002,Germans
431,5001,Italians
431,5000,Russians
431,5003,Chinese
432,5002,Germans
432,5003,Chinese
432,5001,Italians
432,5000,Russians
433,5000,Russians
433,5002,Germans
433,5001,Italians
433,5003,Chinese
434,5002,Germans
434,5003,Chinese
434,5000,Russians
434,5001,Italians
435,5001,Italians
435,5002,Germans
435,5003,Chinese
435,5000,Russians
436,5002,Germans
436,5003,Chinese
436,5000,Russians
436,5001,Italians
437,5000,Russians
437,5003,Chinese
437,5002,Germans
437,5001,Italians
438,5000,Russians
438,5003,Chinese
438,5001,Italians
438,5002,Germans
439,5000,Russians
439,5002,Germans
439,5003,Chinese
439,5001,Italians
440,5001,Italians
440,5000,Russians
440,5003,Chinese
440,5002,Germans
