game,round,num_iterations,time_taken,value
11,5,100,3.16,0.09303941488265992
11,6,100,7.08,0.0928787225484848
11,7,100,2.74,0.09416148632764816
11,8,100,1.61,0.09337607309222222
11,9,100,8.16,0.09395065642893315
11,10,100,8.31,0.09221810422837734
11,11,100,5.9,0.09271493300795555
11,12,100,1.42,0.0932667127251625
11,13,100,6.39,0.09510378658771515
11,14,100,8.94,0.09258422829210758
11,15,100,10.07,0.09282077983021736
11,16,100,2.42,0.09259568564593793
11,17,100,6.52,0.09129857622087002
11,18,100,13.26,0.0924892596155405
11,19,100,4.49,0.09241893567144871
11,20,100,3.87,0.09418069541454316
11,21,100,2.68,0.09468551903963089
11,22,100,8.02,0.09710619688034057
11,23,100,14.41,0.09361471824347972
11,24,100,12.42,0.09427608795464039
11,25,100,10.44,0.09398844256997109
11,26,100,1.63,0.09379256002604962
11,27,100,1.24,0.09250062257051468
11,28,100,5.93,0.09458822168409825
11,29,100,0.76,0.09229563146829606
11,30,100,0.67,0.0898831133544445
11,31,100,13.01,0.09762322463095188
11,32,100,3.26,0.09351967506110669
11,33,100,1.25,0.09702406778931617
12,1,100,5.76,-0.12484765157103539
12,2,100,5.27,-0.12546732053160667
12,3,100,3.0,-0.12368973113596439
12,4,100,3.2,-0.12502829477190971
12,5,100,6.61,-0.12488450594246388
12,6,100,7.01,-0.12376840315759181
12,7,100,3.21,-0.12465847827494145
12,8,100,6.01,-0.12419672451913356
12,9,100,1.16,-0.12585243538022042
12,10,100,3.12,-0.12391956120729447
12,11,100,5.1,-0.12422368310391903
12,12,100,12.67,-0.12508297979831695
12,13,100,14.0,-0.12514904223382473
12,14,100,11.49,-0.12440474204719067
12,15,100,11.99,-0.12448850139975548
12,16,100,8.72,-0.12460566826164722
12,17,100,2.03,-0.1250518336892128
12,18,100,5.65,-0.12398209035396576
12,19,100,3.22,-0.1248839945346117
12,20,100,3.46,-0.12458014756441116
12,21,100,2.01,-0.12527484878897666
12,22,100,5.85,-0.12535979270935058
12,23,100,2.78,-0.12356305301189423
12,24,100,12.44,-0.12476657912135124
12,25,100,13.14,-0.12459914155304432
12,26,100,10.86,-0.12469739206135273
12,27,100,10.52,-0.12466372363269329
12,28,100,11.43,-0.12573613792657853
12,29,100,11.97,-0.12446825072169304
12,30,100,2.1,-0.12484633825719356
12,31,100,11.81,-0.12561720430850984
12,32,100,2.73,-0.12587647140026093
12,33,100,7.69,-0.12525538504123687
12,34,100,12.19,-0.12483491316437721
12,35,100,11.63,-0.1248809127509594
12,36,100,10.72,-0.1247899118065834
12,37,100,15.8,-0.12498598113656044
12,38,100,12.66,-0.12568327471613883
12,39,100,14.14,-0.12561713859438897
12,40,100,13.33,-0.1251731376349926
12,41,100,12.74,-0.1249320075660944
12,42,100,12.91,-0.12460207603871823
12,43,100,12.4,-0.12465210646390915
