port,game,round,depth,num_children,entropy_ratio,q_spread,concentration
5011,1,33,2,12,1.0,0.0,0.0841
5012,1,33,1,7,0.9987,0.0,0.1562
5012,1,33,2,5,0.969,0.0,0.25
5013,1,33,1,5,1.0,0.0,0.2006
5013,1,33,2,3,0.9999,0.0,0.3384
5013,1,33,3,3,0.9998,0.0,0.3385
5011,1,34,1,3,0.9991,0.0,0.3497
5011,1,34,2,2,0.9998,0.0,0.5088
5012,1,34,1,2,0.9998,0.0,0.5081
5012,1,34,2,17,0.9994,0.0,0.065
5012,1,34,3,3,1.0,0.0,0.3333
5013,1,34,1,4,1.0,0.0,0.2516
5013,1,34,2,5,0.9997,0.0,0.2078
5013,1,34,4,4,1.0,0.0,0.25
5012,1,35,1,6,0.9989,0.0,0.1828
5012,1,35,2,3,0.9878,0.0,0.4
5012,1,35,3,5,1.0,0.0,0.2
5013,1,35,1,3,0.9999,0.0,0.338
5013,1,35,2,2,1.0,0.0,0.5015
5013,1,35,3,4,0.9999,0.0,0.253
5012,1,36,1,4,0.9984,0.0,0.2738
5012,1,36,2,5,0.998,0.0,0.2301
5012,1,36,3,2,1.0,0.0,0.5
5013,1,36,1,2,1.0,0.0,0.5015
5013,1,36,2,5,1.0,0.0,0.2008
5013,1,36,3,4,0.9998,0.0,0.2551
5010,1,37,1,3,0.9996,0.0,0.3431
5012,1,37,1,6,0.9996,0.0,0.1761
5012,1,37,2,5,0.9964,0.0,0.2174
5012,1,37,3,2,0.9183,0.0,0.6667
5013,1,37,1,4,1.0,0.0,0.25
5013,1,37,2,2,0.9998,0.0,0.5088
5012,1,38,1,11,0.9996,0.0,0.0995
5012,1,38,2,3,0.9949,0.0,0.3793
5013,1,38,1,5,1.0,0.0,0.2004
5013,1,38,2,2,1.0,0.0,0.5
5010,1,39,1,3,0.9995,0.0,0.3462
5010,1,39,2,2,0.9997,0.0,0.5106
5012,1,39,1,3,0.9943,0.0,0.3788
5012,1,39,2,2,0.9986,0.0,0.5217
5012,1,39,3,11,1.0,0.0,0.0909
5013,1,39,2,3,1.0,0.0,0.3377
5012,1,40,1,3,0.9982,0.0,0.3625
5012,1,40,2,3,0.9944,0.0,0.375
5012,1,40,3,3,0.9975,0.0,0.3684
5013,1,40,1,2,1.0,0.0,0.501
5013,1,40,2,2,1.0,0.0,0.502
5010,1,41,1,3,0.9995,0.0,0.3452
5012,1,41,1,3,0.9978,0.0,0.354
5012,1,41,2,3,0.9955,0.0,0.3684
5012,1,41,3,7,0.9802,0.0,0.1667
5012,1,42,1,4,1.0,0.0,0.25
5012,1,42,2,3,0.997,0.0,0.3667
5012,1,42,3,3,1.0,0.0,0.3333
5012,1,42,4,2,1.0,0.0,0.5
5013,1,42,1,10,1.0,0.0,0.101
5012,1,43,1,2,1.0,0.0,0.5025
5012,1,43,2,3,0.9969,0.0,0.3596
5012,1,43,3,3,0.9932,0.0,0.3803
5012,1,43,4,3,0.9899,0.0,0.4
5013,1,43,1,3,1.0,0.0,0.3333
5013,1,43,2,11,1.0,0.0,0.0909
5012,1,44,1,3,0.9975,0.0,0.3627
5012,1,44,3,3,0.9941,0.0,0.3786
5013,1,44,1,3,0.9997,0.0,0.3396
5013,1,44,2,4,1.0,0.0,0.25
5013,1,44,3,3,1.0,0.0,0.3333
5012,1,45,1,7,0.9997,0.0,0.1517
5012,1,45,2,3,0.9977,0.0,0.35
5012,1,45,3,6,1.0,0.0,0.1667
5013,1,45,1,5,0.9998,0.0,0.2053
5013,1,45,2,3,0.9998,0.0,0.3421
5012,1,46,1,5,0.9994,0.0,0.2105
5012,1,46,2,11,1.0,0.0,0.0909
5012,1,47,1,16,0.9982,0.0,0.0667
5012,1,47,2,2,0.9183,0.0,0.6667
5013,1,47,1,2,1.0,0.0,0.5
5013,1,47,2,2,1.0,0.0,0.5016
5012,1,48,1,5,0.9987,0.0,0.2179
5012,1,48,2,7,0.9996,0.0,0.1477
5013,1,48,1,3,0.9999,0.0,0.339
5013,1,48,2,4,1.0,0.0,0.253
5012,1,49,1,3,0.9978,0.0,0.3636
5012,1,49,2,3,0.997,0.0,0.3667
5012,1,49,3,4,0.9875,0.0,0.3333
5012,1,49,4,2,1.0,0.0,0.5
5013,1,49,2,2,1.0,0.0,0.5
5012,1,50,1,3,0.9948,0.0,0.375
5012,1,50,2,3,0.9954,0.0,0.3784
5012,1,50,3,7,0.9802,0.0,0.1667
5013,1,50,2,4,0.9999,0.0,0.2549
5012,1,51,1,3,0.9969,0.0,0.3657
5012,1,51,2,3,0.9921,0.0,0.383
5012,1,51,3,3,0.9965,0.0,0.375
5012,1,51,4,5,1.0,0.0,0.2
5013,1,51,1,3,0.9999,0.0,0.338
5013,1,51,2,5,1.0,0.0,0.2
5012,1,52,1,3,0.9972,0.0,0.3651
5012,1,52,2,3,0.9909,0.0,0.3864
5012,1,52,3,3,0.9878,0.0,0.4
5012,1,52,5,3,1.0,0.0,0.3333
5013,1,52,1,3,0.9999,0.0,0.338
5013,1,52,3,3,1.0,0.0,0.3363
5013,1,52,4,3,0.9999,0.0,0.3364
5012,1,53,1,3,0.9972,0.0,0.367
5012,1,53,2,3,0.9955,0.0,0.3684
5012,1,53,3,3,1.0,0.0,0.3333
5012,1,53,4,3,1.0,0.0,0.3333
5013,1,53,1,3,1.0,0.0,0.3376
5013,1,53,2,3,0.9999,0.0,0.3397
5012,1,54,1,3,0.9969,0.0,0.3654
5012,1,54,2,3,0.9979,0.0,0.3611
5012,1,54,3,3,0.9922,0.0,0.3636
5012,1,54,4,3,1.0,0.0,0.3333
5013,1,54,1,5,1.0,0.0,0.2007
5013,1,54,4,3,0.9999,0.0,0.3364
5012,1,55,1,3,0.994,0.0,0.3791
5012,1,55,3,3,0.9972,0.0,0.3692
5012,1,55,4,3,0.9922,0.0,0.3636
5012,1,55,5,3,1.0,0.0,0.3333
5013,1,55,1,10,0.9987,0.0,0.1077
5013,1,55,2,3,0.9602,0.0,0.4
5012,1,56,2,3,0.9925,0.0,0.3881
5012,1,56,3,4,0.995,0.0,0.2917
5012,1,56,4,3,0.9602,0.0,0.4
5013,1,56,1,2,1.0,0.0,0.5
5013,1,56,2,7,0.9989,0.0,0.1538
5013,1,56,4,3,0.9464,0.0,0.5
