game,player,z,num_examples,value_mean,value_std,percent_full_iter
12,5011,-0.33333333333333326,82,-0.0489,0.0381,92.67999999999999
12,5010,1.0,110,-0.0308,0.0198,53.64
13,5012,-1.0,50,0.0105,0.0089,100.0
13,5011,1.0,151,0.0627,0.0415,63.580000000000005
13,5010,-0.33333333333333326,97,0.0202,0.0145,83.50999999999999
13,5013,0.33333333333333337,116,-0.0286,0.0224,93.97
14,5013,-1.0,81,0.0259,0.0194,79.01
14,5012,0.33333333333333337,117,0.0813,0.0564,73.5
14,5010,-0.33333333333333326,84,-0.0199,0.0156,91.67
14,5011,1.0,131,-0.0842,0.0548,65.64999999999999
15,5010,-0.33333333333333326,82,0.0556,0.0598,100.0
15,5013,1.0,168,0.0921,0.0616,61.9
15,5012,-1.0,109,-0.0112,0.0084,70.64
15,5011,0.33333333333333337,175,0.1002,0.0652,72.0
16,5010,-1.0,36,-0.0565,0.0565,100.0
16,5012,-0.33333333333333326,104,0.0304,0.024,80.77
16,5011,1.0,172,0.0643,0.0383,54.06999999999999
16,5013,0.33333333333333337,131,0.0128,0.0091,97.71
17,5012,-1.0,81,-0.0153,0.0159,100.0
17,5010,-0.33333333333333326,162,0.0104,0.0074,64.81
17,5013,1.0,183,-0.0837,0.0577,59.56
17,5011,0.33333333333333337,144,-0.058,0.0483,95.83
18,5010,-0.33333333333333326,72,-0.0528,0.0472,100.0
18,5013,0.33333333333333337,120,0.0308,0.0218,64.17
18,5011,1.0,121,0.0008,0.0006,63.63999999999999
18,5012,-1.0,81,0.0473,0.0344,92.58999999999999
19,5010,-1.0,35,-0.0389,0.0357,100.0
19,5012,-0.33333333333333326,59,-0.0487,0.0403,100.0
19,5013,0.33333333333333337,65,0.0394,0.0354,95.38
19,5011,1.0,90,0.0461,0.0326,60.0
20,5010,-1.0,42,-0.0479,0.0376,100.0
20,5013,0.33333333333333337,74,-0.0283,0.0208,77.03
20,5011,1.0,73,-0.0372,0.0285,89.03999999999999
20,5012,-0.33333333333333326,68,0.0385,0.0284,95.59
21,5013,-1.0,50,0.075,0.0587,100.0
21,5011,-0.33333333333333326,62,0.0275,0.0267,100.0
21,5012,1.0,117,0.0082,0.0059,60.68
21,5010,0.33333333333333337,123,0.0123,0.0085,70.73
22,5013,-1.0,61,0.0293,0.0228,100.0
22,5010,-0.33333333333333326,140,0.0187,0.0135,67.14
22,5012,1.0,180,0.0739,0.0446,72.78
22,5011,0.33333333333333337,138,-0.0158,0.0115,95.65
23,5012,-1.0,27,-0.0315,0.0327,100.0
23,5010,-0.33333333333333326,49,0.0014,0.0011,100.0
23,5013,0.33333333333333337,64,-0.0575,0.0476,84.38
23,5011,1.0,82,-0.0669,0.0469,50.0
24,5012,-1.0,88,-0.0537,0.0447,100.0
24,5011,-0.33333333333333326,132,-0.0131,0.0103,78.79
24,5010,0.33333333333333337,127,-0.0703,0.0665,100.0
24,5013,1.0,164,0.0183,0.0139,57.32000000000001
25,5011,-1.0,98,-0.0573,0.0437,94.89999999999999
25,5013,-0.33333333333333326,169,-0.0021,0.0016,89.94
25,5012,0.33333333333333337,175,-0.0614,0.0449,74.86
25,5010,1.0,203,-0.072,0.0478,53.690000000000005
26,5012,-1.0,57,0.0145,0.0148,100.0
26,5013,0.33333333333333337,164,0.0575,0.0403,75.61
26,5010,-0.33333333333333326,126,0.0646,0.0533,100.0
26,5011,1.0,163,-0.0531,0.0379,65.03
27,5013,-1.0,49,-0.0552,0.0439,100.0
27,5011,-0.33333333333333326,45,-0.0734,0.0657,100.0
27,5012,0.33333333333333337,119,0.0645,0.0434,64.71000000000001
27,5010,1.0,106,0.0552,0.0412,50.94
28,5011,-0.33333333333333326,101,0.0202,0.0157,100.0
28,5013,-1.0,70,-0.0251,0.0181,77.14
28,5012,0.33333333333333337,127,-0.0238,0.0156,70.08
28,5010,1.0,132,-0.0716,0.0463,43.94
29,5013,-1.0,48,0.0858,0.0789,91.67
29,5011,-0.33333333333333326,64,-0.0771,0.0597,93.75
29,5012,0.33333333333333337,142,0.0758,0.0491,41.55
29,5010,1.0,130,0.0736,0.0518,76.92
30,5011,-1.0,54,0.057,0.0454,100.0
30,5010,0.33333333333333337,85,-0.041,0.0318,88.24
30,5012,1.0,99,-0.0641,0.0443,74.75
30,5013,-0.33333333333333326,64,-0.0647,0.0484,95.30999999999999
31,5011,-0.33333333333333326,42,0.0493,0.0517,100.0
31,5013,-1.0,58,0.0156,0.0126,100.0
31,5010,1.0,105,-0.0703,0.0455,55.24
31,5012,0.33333333333333337,88,0.0276,0.0198,81.82000000000001
32,5012,-0.33333333333333326,135,0.0365,0.0276,95.56
32,5010,-1.0,92,-0.0664,0.052,100.0
32,5011,1.0,164,0.0974,0.0673,59.150000000000006
32,5013,0.33333333333333337,164,-0.0714,0.0487,74.39
33,5011,-1.0,50,-0.0248,0.0229,90.0
33,5012,-0.33333333333333326,117,0.0192,0.0155,97.44
33,5013,0.33333333333333337,138,-0.0656,0.0518,83.33
33,5010,1.0,210,0.0625,0.0368,34.760000000000005
34,5011,-1.0,112,-0.0254,0.0189,81.25
34,5012,0.33333333333333337,137,-0.015,0.0114,81.02000000000001
34,5013,-0.33333333333333326,126,-0.0212,0.0169,97.61999999999999
34,5010,1.0,169,0.0291,0.0192,42.01
35,5013,0.33333333333333337,44,-0.0409,0.0448,100.0
35,5010,-1.0,29,0.0139,0.0144,100.0
35,5012,-0.33333333333333326,64,0.0321,0.0232,90.62
35,5011,1.0,74,0.0984,0.0703,60.809999999999995
36,5010,-1.0,76,0.018,0.0162,92.11
36,5013,0.33333333333333337,149,-0.034,0.0268,82.55
36,5012,-0.33333333333333326,158,0.0206,0.015,83.54
36,5011,1.0,191,0.0316,0.0208,47.64
37,5011,-1.0,61,-0.0219,0.0165,80.33
37,5013,-0.33333333333333326,89,-0.051,0.0373,85.39
37,5010,0.33333333333333337,91,0.0289,0.0239,95.6
37,5012,1.0,124,0.0723,0.0472,54.03
38,5011,-0.33333333333333326,42,-0.0117,0.0096,100.0
38,5013,-1.0,47,-0.0899,0.0646,85.11
38,5012,0.33333333333333337,82,-0.0414,0.0282,75.61
38,5010,1.0,86,-0.0206,0.0139,68.60000000000001
39,5013,-1.0,54,0.0206,0.0152,100.0
39,5011,-0.33333333333333326,62,-0.0338,0.0269,90.32
39,5012,0.33333333333333337,70,0.0602,0.0477,80.0
39,5010,1.0,88,0.0426,0.0291,75.0
40,5010,-1.0,24,0.0075,0.0089,100.0
40,5012,-0.33333333333333326,75,-0.0772,0.053,94.67
40,5011,0.33333333333333337,117,-0.0082,0.0065,75.21
40,5013,1.0,167,-0.0214,0.013,25.75
41,5013,-0.33333333333333326,88,0.0443,0.036,94.32000000000001
41,5011,-1.0,66,-0.0683,0.0624,100.0
41,5012,1.0,119,-0.0376,0.0277,52.1
41,5010,0.33333333333333337,116,0.0067,0.005,75.86
42,5012,-1.0,61,-0.0435,0.0387,100.0
42,5010,-0.33333333333333326,85,0.001,0.0008,94.12
42,5013,0.33333333333333337,149,-0.0264,0.0213,87.25
42,5011,1.0,208,0.0316,0.0203,37.5
43,5013,-1.0,35,0.0026,0.0021,100.0
43,5010,-0.33333333333333326,66,-0.0816,0.0637,78.79
43,5011,0.33333333333333337,82,-0.0011,0.0008,73.17
43,5012,1.0,95,0.0221,0.0146,67.36999999999999
44,5011,-1.0,34,-0.0331,0.0351,100.0
44,5013,-0.33333333333333326,58,-0.0399,0.0399,100.0
44,5012,0.33333333333333337,86,0.0069,0.0048,73.26
44,5010,1.0,94,0.0247,0.0169,53.190000000000005
45,5013,-0.33333333333333326,52,0.0094,0.0071,100.0
45,5011,-1.0,45,-0.0827,0.0675,100.0
45,5012,1.0,113,-0.0269,0.0169,39.82
45,5010,0.33333333333333337,103,0.0677,0.0455,59.21999999999999
46,5012,-1.0,88,-0.013,0.0111,87.5
46,5010,-0.33333333333333326,129,-0.0418,0.0322,83.72
46,5013,0.33333333333333337,118,0.0509,0.0414,86.44
46,5011,1.0,146,0.0656,0.0459,67.12
47,5011,-1.0,61,0.0007,0.0006,100.0
47,5013,-0.33333333333333326,54,-0.0685,0.066,92.58999999999999
47,5010,0.33333333333333337,178,0.0081,0.0054,43.26
47,5012,1.0,171,0.0517,0.0356,59.06
48,5010,-1.0,39,0.0693,0.0519,100.0
48,5013,-0.33333333333333326,104,0.0293,0.02,84.61999999999999
48,5011,1.0,128,-0.0967,0.0664,67.19000000000001
48,5012,0.33333333333333337,111,-0.0599,0.045,82.88
49,5011,-1.0,66,0.0598,0.0546,95.45
49,5013,-0.33333333333333326,79,-0.0002,0.0001,88.61
49,5010,0.33333333333333337,128,-0.0416,0.0333,75.0
