game,round,num_iterations,root_node_visits,best_node_visits,best_node_value,avg_depth,explored,total_actions
4,55,7,7,1,-0.34275184275184273,9.714285714285714,7,7616
4,56,7,7,1,-0.37681159420289856,9.857142857142858,7,30468
4,57,7,7,1,0.17317073170731706,9.142857142857142,7,9252
4,58,8,8,1,0.2052896725440806,9.125,8,17922
4,59,8,8,1,-0.42376681614349776,9.0,8,18978
4,60,8,8,1,-0.4314159292035398,9.125,8,18976
4,61,7,7,1,-0.4358669833729216,10.0,7,20486
4,62,7,7,1,-0.27611940298507465,8.857142857142858,7,11990
4,63,6,6,1,-0.09330143540669857,9.166666666666666,6,13176
4,64,6,6,1,0.02996845425867508,9.166666666666666,6,7371
4,65,6,6,1,-0.23604060913705585,9.5,6,64638
4,66,7,7,1,-0.32082324455205813,9.428571428571429,7,79001
4,67,7,7,1,0.3594847775175644,8.857142857142858,7,92656
4,67,7,7,1,0.024300441826215022,9.571428571428571,7,24336
4,67,7,7,1,0.2922077922077922,9.428571428571429,7,24336
4,67,6,6,1,0.36486486486486486,9.666666666666666,6,24336
4,67,7,7,1,-0.27530864197530863,9.142857142857142,7,12180
4,67,8,8,1,-0.2644230769230769,8.375,8,23712
4,67,7,7,1,0.33053691275167785,9.857142857142858,7,23712
4,67,7,7,1,-0.2948207171314741,9.857142857142858,7,23088
4,67,8,8,1,0.3355263157894737,9.125,8,14
4,67,7,7,1,0.14084507042253522,8.857142857142858,7,853
4,67,7,7,1,0.4757785467128028,9.0,7,805
4,67,7,7,1,0.29017857142857145,8.857142857142858,7,2407
4,79,9,9,1,0.464041095890411,9.222222222222221,9,681
5,1,16,16,6,0.21356421356421354,9.8125,3,3
5,2,10,10,4,0.12970235442661915,10.0,3,3
5,3,9,9,5,0.1505855675603575,9.11111111111111,2,2
5,5,7,7,4,0.18384479198494494,10.0,2,2
5,6,7,7,2,-0.012544458329328073,9.857142857142858,5,5
5,7,7,7,2,-0.05559830704116969,9.285714285714286,5,5
5,8,7,7,2,-0.0021126760563380254,8.857142857142858,5,5
5,9,6,6,1,-0.2687074829931973,9.666666666666666,6,16
5,10,6,6,1,-0.2898089171974522,9.333333333333334,6,794
5,11,6,6,1,-0.40370370370370373,9.333333333333334,6,6048
5,12,6,6,1,-0.30985915492957744,9.5,6,8448
5,13,5,5,1,-0.450920245398773,10.0,5,3888
5,14,6,6,1,-0.4931506849315068,9.166666666666666,6,24624
5,15,5,5,1,-0.315450643776824,9.6,5,13392
5,16,6,6,1,-0.24193548387096775,9.0,6,96348
5,17,5,5,1,-0.44537815126050423,10.0,5,12495
5,18,6,6,1,-0.3320610687022901,8.666666666666666,6,52597
5,19,6,6,1,-0.3917525773195876,8.666666666666666,6,31416
5,20,6,6,1,-0.2644927536231884,9.0,6,95744
5,21,5,5,1,-0.3730964467005076,9.8,5,28512
5,22,6,6,1,-0.5,9.166666666666666,6,180575
5,23,5,5,1,-0.5,9.8,5,70980
5,24,5,5,1,-0.5,10.0,5,111382
5,25,5,5,1,-0.5,8.8,5,85050
5,26,5,5,1,-0.5,10.0,5,367198
5,27,5,5,1,-0.5,9.2,5,55692
5,28,5,5,1,-0.5,8.6,5,1800708
5,29,6,6,1,-0.5,8.666666666666666,6,163682
5,30,5,5,1,-0.5,9.0,5,750200
5,31,5,5,1,-0.5,8.6,5,107019
5,32,5,5,1,-0.5,9.6,5,244396
5,33,6,6,1,-0.5,8.666666666666666,6,111090
5,34,6,6,1,-0.5,9.333333333333334,6,1014299
5,35,7,7,1,-0.5,8.857142857142858,7,180414
5,36,6,6,1,-0.5,8.5,6,1553112
