game,round,pu_before,pu_after,territories_before,territories_after
3,20,9,25,3,4
3,21,17,31,2,3
3,22,3,17,2,3
3,23,3,17,2,3
3,24,0,16,3,4
3,25,3,19,3,4
3,26,8,24,3,4
3,27,0,18,4,5
3,28,2,30,5,6
3,29,10,38,5,6
3,30,5,33,5,6
3,31,0,26,4,5
3,32,9,31,2,3
4,1,3,17,2,3
4,2,8,24,3,4
4,3,2,20,4,5
4,4,4,22,4,5
4,5,0,20,5,6
4,6,10,30,5,6
4,7,1,21,5,6
4,8,1,21,5,6
4,9,0,20,5,6
4,10,5,25,5,6
4,11,13,31,4,5
4,12,18,36,4,5
4,13,6,24,4,5
4,14,4,24,5,6
4,15,13,35,6,7
4,16,7,29,6,7
4,17,1,21,5,6
4,18,0,18,4,5
4,19,6,22,3,4
4,20,7,21,2,3
4,21,9,23,2,3
4,22,6,20,2,3
4,23,3,19,3,4
4,24,2,16,2,3
4,25,7,21,2,3
4,26,1,15,2,3
4,27,4,18,2,3
4,28,6,20,2,3
4,29,3,17,2,3
4,30,10,24,2,3
4,31,7,21,2,3
4,32,2,16,2,3
4,33,1,17,3,4
4,34,3,17,2,3
4,35,5,19,2,3
4,36,0,14,2,3
4,37,2,16,2,3
4,38,3,19,3,4
4,39,5,23,4,5
4,40,7,27,5,6
4,41,9,37,5,6
4,42,7,35,5,6
4,43,19,49,6,7
4,44,6,38,7,8
4,45,4,51,8,9
4,46,2,51,9,10
4,47,15,66,10,11
4,48,8,59,10,11
4,49,26,60,9,9
4,50,17,49,7,8
4,51,0,22,6,7
4,52,6,39,5,6
4,53,13,46,5,6
4,54,5,38,5,6
4,55,10,41,4,5
4,56,24,40,3,4
4,57,5,21,3,4
4,58,6,37,4,5
4,59,5,38,5,6
4,60,6,39,5,6
4,61,9,40,4,5
4,62,19,50,4,5
4,63,3,19,3,4
4,64,1,13,1,2
4,65,6,20,2,3
4,66,1,15,2,3
4,67,9,23,2,3
4,67,0,4,1,2
4,67,0,4,1,2
4,67,0,4,1,2
4,67,0,6,2,3
4,67,0,4,1,2
4,67,0,4,1,2
4,67,0,4,1,2
4,67,0,6,2,3
4,67,0,4,1,2
4,67,0,6,2,3
4,67,0,16,3,4
4,79,0,14,2,3
5,1,0,14,2,3
5,2,10,26,3,4
5,3,6,24,4,5
5,5,1,19,4,5
5,6,0,18,5,5
5,7,1,21,5,6
5,8,4,24,5,6
5,9,0,18,4,5
5,10,11,25,2,3
5,11,7,23,3,4
5,12,8,22,2,3
5,13,12,26,2,3
5,14,5,19,2,3
5,15,0,14,2,3
5,16,10,24,2,3
5,17,5,19,2,3
5,18,6,20,2,3
5,19,0,14,2,3
5,20,8,22,2,3
5,21,9,23,2,3
5,22,14,28,2,3
5,23,20,34,2,3
5,24,17,31,2,3
5,25,19,33,2,3
5,26,18,32,2,3
5,27,5,19,2,3
5,28,5,19,2,3
5,29,1,15,2,3
5,30,8,22,2,3
5,31,15,29,2,3
5,32,6,20,2,3
5,33,11,25,2,3
5,34,5,19,2,3
5,35,1,15,2,3
5,36,4,18,2,3
