profile,func_name,ncalls,time,time_per_call,total_time
mcts_heuristic_v2/profiles/mcts_301_03.prof,unit_attack,6384,0.0015235930000000002,2.3865805137844613e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,unit_defense,6384,0.001791952,2.8069423558897247e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,tuv_of,8512,0.003038859,3.570088110902256e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<genexpr>,8512,0.002156514,2.533498590225564e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<genexpr>,16402,0.00188057,1.1465492013169126e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<genexpr>,4256,0.000905573,2.1277561090225564e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<genexpr>,2128,0.000978373,4.597617481203008e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,getNextAction,304,6.0238e-05,1.9815131578947369e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<genexpr>,102193,0.036490031,3.5706976994510387e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,clone,308,0.00101914,3.308896103896104e-06,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<genexpr>,6384,0.0008992300000000001,1.4085682957393485e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,get_reachable_enemy_territories,2128,0.00802632,3.7717669172932333e-06,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<genexpr>,8512,0.0019678160000000003,2.3118139097744364e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,unit_count,6384,0.001523419,2.3863079573934836e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<genexpr>,8512,0.003726252,4.3776456766917294e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,__init__,6384,0.00046261900000000005,7.24653822055138e-08,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,__init__,4562,0.000548801,1.2029833406400703e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_04.prof,expand,293,0.000182384,6.224709897610922e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,heuristic_combat_legal_moves,7128,0.203151357,2.850047095959596e-05,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,pick_rollout_move,7115,0.009788380000000001,1.375738580463809e-06,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,set_terr_lists,2051,0.00691308,3.3705899561189666e-06,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,apply_purchase_move,2051,0.0021190090000000003,1.0331589468551927e-06,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,territory_priority,6153,0.008317962,1.3518547050219405e-06,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,simulate,293,0.029149612000000002,9.948673037542663e-05,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,purchase_legal_moves,2051,0.020766171,1.0124900536323744e-05,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,apply_combat_move,4784,0.011236784000000001,2.348826086956522e-06,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,apply_noncombat_move,14030,0.009495491,6.767990734141127e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,heuristic_non_combat_legal_moves,2344,0.118667673,5.0626140358361773e-05,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,assess_strategic_mode,2051,0.021290581000000003,1.0380585568015603e-05,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,best_child_uct,1117,0.001150081,1.0296159355416294e-06,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<genexpr>,18641,0.0035640460000000004,1.911939273644118e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<genexpr>,14540,0.003142109,2.1610103163686384e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,is_terminal,2944,0.004237558000000001,1.4393879076086959e-06,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<genexpr>,14540,0.001323952,9.105584594222833e-08,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,reset_moved_flags,586,0.001170857,1.9980494880546075e-06,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,backpropagate,293,0.00014364,4.902389078498293e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<lambda>,11549,0.0005920330000000001,5.126270672785523e-08,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<genexpr>,12306,0.0020641780000000003,1.6773752640988138e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<genexpr>,10579,0.0018706660000000002,1.7682824463559884e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,is_terminal,1410,0.00010338900000000001,7.332553191489362e-08,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<genexpr>,8173,0.001525405,1.86639544842775e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<genexpr>,14720,0.0018697910000000002,1.2702384510869567e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,is_fully_expanded,1144,0.000194322,1.698618881118881e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<genexpr>,18641,0.00152394,8.175205192854461e-08,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,__init__,13,4.68e-06,3.6e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,update_income,2344,0.0038063430000000002,1.623866467576792e-06,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,unit_attack,6153,0.00136987,2.2263448724199578e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,unit_defense,6122,0.0016494550000000002,2.6943074158771644e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,tuv_of,8204,0.00289703,3.5312408581179915e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<genexpr>,8204,0.0020087860000000003,2.448544612384203e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<genexpr>,15664,0.0017488710000000001,1.1164906792645557e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<genexpr>,4102,0.000834641,2.0347172111165284e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<genexpr>,2051,0.0009188060000000001,4.4797952218430037e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,getNextAction,293,5.8855000000000005e-05,2.008703071672355e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<genexpr>,102748,0.034991538,3.4055687701950407e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,clone,306,0.0009728270000000001,3.1791732026143797e-06,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<genexpr>,6153,0.000824748,1.3403998049731838e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,get_reachable_enemy_territories,2051,0.007571609000000001,3.6916669917113607e-06,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<genexpr>,8173,0.0018177450000000002,2.2240854031567358e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,unit_count,6122,0.001402433,2.2908085592943482e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,<genexpr>,8204,0.003535336,4.309283276450512e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,__init__,6095,0.00042283900000000005,6.937473338802298e-08,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_04.prof,__init__,4403,0.000506534,1.1504292527821939e-07,1.0010983390000001
mcts_heuristic_v2/profiles/mcts_301_05.prof,expand,270,0.000154673,5.72862962962963e-07,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,heuristic_combat_legal_moves,7191,0.224426331,3.1209335419274094e-05,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,pick_rollout_move,7183,0.011271173,1.5691456216065712e-06,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,set_terr_lists,1890,0.006750109000000001,3.571486243386244e-06,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,apply_purchase_move,1890,0.002075525,1.0981613756613757e-06,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,territory_priority,6075,0.008514245,1.4015218106995884e-06,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,simulate,270,0.029516562000000003,0.0001093206,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,purchase_legal_moves,1890,0.020479104,1.0835504761904763e-05,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,apply_combat_move,5031,0.014451606,2.872511627906977e-06,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,apply_noncombat_move,11817,0.008537061,7.224389438943895e-07,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,heuristic_non_combat_legal_moves,2160,0.11079002600000001,5.129167870370371e-05,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,assess_strategic_mode,1890,0.020277444000000002,1.072880634920635e-05,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,best_child_uct,779,0.0009120640000000001,1.1708138639281131e-06,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,<genexpr>,17747,0.0034493360000000003,1.9436163858680342e-07,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,<genexpr>,14660,0.003388223,2.3112025920873124e-07,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,is_terminal,2709,0.004034682,1.4893621262458472e-06,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,<genexpr>,14660,0.0013529750000000002,9.229024556616645e-08,1.0014201479999993
