game,round,num_iterations,root_node_visits,best_node_visits,best_node_value,avg_depth,explored,total_actions
3,2,11,11,3,0.0784313725490196,9.636363636363637,4,4
3,3,8,8,4,0.125,9.625,2,2
3,4,8,8,8,0.17045454545454544,10.0,1,1
3,5,8,8,4,0.11363636363636363,9.125,2,2
3,6,7,7,2,0.0,9.285714285714286,4,4
3,7,7,7,4,0.109375,9.142857142857142,2,2
3,8,6,6,1,-0.23426573426573427,9.666666666666666,6,1847
3,9,6,6,1,-0.22560975609756098,10.0,6,4032
3,10,6,6,1,-0.22727272727272727,10.0,6,57624
3,11,6,6,1,-0.21502590673575128,9.0,6,4256
3,12,6,6,1,-0.21291866028708134,8.833333333333334,6,65967
3,13,7,7,1,-0.12420382165605096,9.571428571428571,7,25760
3,14,6,6,1,-0.09116022099447514,10.0,6,120497
3,15,6,6,1,-0.05614973262032086,9.833333333333334,6,11900
3,16,7,7,1,-0.059782608695652176,9.142857142857142,7,113049
3,17,6,6,1,-0.04807692307692308,10.0,6,18214
3,18,6,6,1,-0.02586206896551724,9.166666666666666,6,300299
3,19,6,6,1,-0.009652509652509652,9.5,6,74250
3,20,6,6,1,0.0017921146953405018,9.333333333333334,6,475200
3,21,6,6,1,0.018151815181518153,9.333333333333334,6,54288
3,22,6,6,1,0.046052631578947366,9.666666666666666,6,560975
3,23,7,7,1,0.08823529411764706,9.428571428571429,7,87722
3,24,7,7,1,0.10559006211180125,9.428571428571429,7,116099
3,25,8,8,1,0.11224489795918367,9.0,8,253272
3,26,8,8,1,0.15671641791044777,9.0,8,148349
3,27,8,8,1,0.174931129476584,10.0,8,244881
4,1,21,21,7,0.2067669172932331,10.0,3,3
4,2,11,11,3,0.0784313725490196,9.545454545454545,4,4
4,3,8,8,4,0.11274509803921569,9.75,2,2
4,4,8,8,1,-0.22058823529411764,9.25,8,8
4,5,8,8,1,-0.21264367816091953,9.0,8,431
4,6,7,7,1,-0.20408163265306123,10.0,7,438
4,7,7,7,2,0.0,9.428571428571429,4,4
4,8,7,7,1,-0.21830985915492956,9.142857142857142,7,44
4,9,6,6,1,-0.20270270270270271,10.0,6,9
4,10,7,7,1,-0.17586206896551723,8.857142857142858,7,27
4,11,6,6,3,0.05555555555555555,9.166666666666666,2,2
4,12,5,5,1,-0.19540229885057472,10.0,5,1224
4,13,5,5,1,-0.19072164948453607,10.0,5,3564
4,14,6,6,1,-0.18095238095238095,8.833333333333334,6,7127
4,15,5,5,1,-0.16379310344827586,9.8,5,4389
4,16,6,6,1,-0.16265060240963855,9.0,6,33245
4,17,6,6,1,-0.14312267657992564,8.833333333333334,6,26208
4,18,6,6,1,-0.13194444444444445,8.833333333333334,6,21019
4,19,6,6,1,-0.1302250803858521,9.166666666666666,6,13554
4,20,6,6,1,-0.13344051446945338,9.166666666666666,6,99528
4,21,6,6,1,-0.032520325203252036,9.166666666666666,6,16200
4,22,6,6,1,-0.019855595667870037,9.0,6,188699
4,23,6,6,1,0.03531598513011153,9.166666666666666,6,16018
4,24,6,6,1,0.0423728813559322,8.833333333333334,6,248248
4,25,6,6,1,0.054140127388535034,9.333333333333334,6,65520
4,26,6,6,1,0.0621301775147929,9.0,6,123750
4,27,6,6,1,0.07262569832402235,9.166666666666666,6,120960
4,28,6,6,1,0.09312320916905444,10.0,6,196557
4,29,7,7,1,0.12601626016260162,9.285714285714286,7,111599
4,30,7,7,1,0.2,9.428571428571429,7,312479
4,31,8,8,1,0.13709677419354838,9.75,8,49504
4,32,9,9,9,-0.3623306233062331,9.444444444444445,1,1
5,1,13,13,5,0.20769230769230768,9.846153846153847,3,3
5,2,9,9,3,0.09689922480620156,10.0,3,3
5,3,9,9,3,0.09322033898305083,9.444444444444445,3,3
5,4,7,7,7,0.19642857142857142,10.0,1,1
5,5,7,7,1,-0.2765957446808511,10.0,7,23
5,6,8,8,1,-0.2777777777777778,9.0,8,2448
5,7,8,8,1,-0.2647058823529412,9.0,8,868
5,8,7,7,1,-0.2655172413793103,10.0,7,504
5,9,7,7,1,-0.26506024096385544,9.714285714285714,7,508
5,10,7,7,1,-0.3,10.0,7,505
5,11,8,8,1,-0.34057971014492755,9.375,8,350
5,12,7,7,1,-0.3223684210526316,9.714285714285714,7,4725
5,13,7,7,1,-0.3176470588235294,9.0,7,8568
5,14,7,7,1,-0.28488372093023256,9.0,7,3150
5,15,6,6,1,-0.26649746192893403,10.0,6,30450
5,16,6,6,1,-0.2706422018348624,10.0,6,6300
5,17,7,7,1,-0.2076923076923077,9.285714285714286,7,18900
5,18,7,7,1,-0.21689497716894976,8.714285714285714,7,8100
5,19,7,7,1,-0.22289156626506024,9.0,7,78300
5,20,6,6,1,-0.22893772893772893,9.666666666666666,6,12870
5,21,6,6,1,-0.23267326732673269,9.833333333333334,6,94379
5,22,6,6,6,0.08831908831908832,10.0,1,1
